time,bid,bid_depth,bid_depth_total,offer,offer_depth,offer_depth_total
20171026T153221,55.53,300,300,55.55,200,200
20171026T153222,55.54,100,100,55.56,600,600
20171026T153223,55.52,200,200,55.54,600,600
20171026T153224,55.52,100,100,55.54,600,600
20171026T153225,55.52,100,100,55.54,700,700
20171026T153227,55.52,100,100,55.54,900,900
20171026T153229,55.49,400,400,55.52,400,400
20171026T153230,55.47,400,400,55.5,400,400
20171026T153231,55.47,300,300,55.5,600,600
20171026T153233,55.47,300,300,55.5,800,800
20171026T153233,55.44,100,100,55.46,500,500
20171026T153234,55.45,200,200,55.46,100,100
20171026T153242,55.45,300,300,55.46,100,100
20171026T153243,55.46,600,600,55.49,200,200
20171026T153243,55.49,300,300,55.5,300,300
20171026T153244,55.51,300,300,55.52,100,100
20171026T153244,55.51,200,200,55.52,100,100
20171026T153247,55.5,300,300,55.52,100,100
20171026T153248,55.5,300,300,55.52,300,300
20171026T153250,55.48,600,600,55.5,500,500
20171026T153250,55.5,100,100,55.51,200,200
20171026T153251,55.49,300,300,55.5,100,100
20171026T153252,55.48,100,100,55.5,500,500
20171026T153254,55.45,200,200,55.47,400,400
20171026T153254,55.45,300,300,55.48,500,500
20171026T153256,55.45,200,200,55.47,500,500
20171026T153258,55.45,100,100,55.47,600,600
20171026T153300,55.41,300,300,55.45,600,600
20171026T153301,55.41,300,300,55.45,1500,1500
20171026T153302,55.41,500,500,55.45,1600,1600
20171026T153307,55.39,400,400,55.45,400,400
20171026T153308,55.38,200,200,55.4,300,300
20171026T153309,55.38,300,300,55.4,200,200
20171026T153310,55.39,100,100,55.41,500,500
20171026T153311,55.36,100,100,55.38,500,500
20171026T153312,55.36,100,100,55.38,600,600
20171026T153313,55.32,600,600,55.35,600,600
20171026T153313,55.32,100,100,55.34,300,300
20171026T153314,55.32,300,300,55.34,300,300
20171026T153316,55.32,200,200,55.34,700,700
20171026T153318,55.32,200,200,55.34,800,800
20171026T153320,55.32,200,200,55.34,1000,1000
20171026T153320,55.32,100,100,55.32,100,100
20171026T153321,55.31,100,100,55.33,300,300
20171026T153322,55.31,100,100,55.32,600,600
20171026T153323,55.31,200,200,55.32,200,200
20171026T153324,55.32,200,200,55.32,100,100
20171026T153324,55.3,500,500,55.33,400,400
20171026T153326,55.3,300,300,55.31,500,500
20171026T153326,55.3,100,100,55.31,100,100
20171026T153327,55.33,100,100,55.34,200,200
20171026T153327,55.33,400,400,55.34,400,400
