Date,Open,High,Low,Close*,Adj Close**,Volume
12-May-17,"2,392.44","2,392.44","2,387.19","2,390.90","2,390.90","3,305,630,000"
11-May-17,"2,394.84","2,395.72","2,381.74","2,394.44","2,394.44","3,727,420,000"
10-May-17,"2,396.79","2,399.74","2,392.79","2,399.63","2,399.63","3,643,530,000"
9-May-17,"2,401.58","2,403.87","2,392.44","2,396.92","2,396.92","3,653,590,000"
8-May-17,"2,399.94","2,401.36","2,393.92","2,399.38","2,399.38","3,429,440,000"
5-May-17,"2,392.37","2,399.29","2,389.38","2,399.29","2,399.29","3,540,140,000"
4-May-17,"2,389.79","2,391.43","2,380.35","2,389.52","2,389.52","4,362,540,000"
3-May-17,"2,386.50","2,389.82","2,379.75","2,388.13","2,388.13","3,893,990,000"
2-May-17,"2,391.05","2,392.93","2,385.82","2,391.17","2,391.17","3,813,680,000"
1-May-17,"2,388.50","2,394.49","2,384.83","2,388.33","2,388.33","3,199,240,000"
28-Apr-17,"2,393.68","2,393.68","2,382.36","2,384.20","2,384.20","3,718,270,000"
27-Apr-17,"2,389.70","2,392.10","2,382.68","2,388.77","2,388.77","4,098,460,000"
26-Apr-17,"2,388.98","2,398.16","2,386.78","2,387.45","2,387.45","4,105,920,000"
25-Apr-17,"2,381.51","2,392.48","2,381.15","2,388.61","2,388.61","3,995,240,000"
24-Apr-17,"2,370.33","2,376.98","2,369.19","2,374.15","2,374.15","3,690,650,000"
21-Apr-17,"2,354.74","2,356.18","2,344.51","2,348.69","2,348.69","3,503,360,000"
20-Apr-17,"2,342.69","2,361.37","2,340.91","2,355.84","2,355.84","3,647,420,000"
19-Apr-17,"2,346.79","2,352.63","2,335.05","2,338.17","2,338.17","3,519,900,000"
18-Apr-17,"2,342.53","2,348.35","2,334.54","2,342.19","2,342.19","3,269,840,000"
17-Apr-17,"2,332.62","2,349.14","2,332.51","2,349.01","2,349.01","2,824,710,000"
13-Apr-17,"2,341.98","2,348.26","2,328.95","2,328.95","2,328.95","3,143,890,000"
12-Apr-17,"2,352.15","2,352.72","2,341.18","2,344.93","2,344.93","3,196,950,000"
11-Apr-17,"2,353.92","2,355.22","2,337.25","2,353.78","2,353.78","3,117,420,000"
10-Apr-17,"2,357.16","2,366.37","2,351.50","2,357.16","2,357.16","2,785,410,000"
7-Apr-17,"2,356.59","2,363.76","2,350.74","2,355.54","2,355.54","3,053,150,000"
6-Apr-17,"2,353.79","2,364.16","2,348.90","2,357.49","2,357.49","3,201,920,000"
5-Apr-17,"2,366.59","2,378.36","2,350.52","2,352.95","2,352.95","3,770,520,000"
4-Apr-17,"2,354.76","2,360.53","2,350.72","2,360.16","2,360.16","3,206,240,000"
3-Apr-17,"2,362.34","2,365.87","2,344.73","2,358.84","2,358.84","3,416,400,000"
31-Mar-17,"2,364.82","2,370.35","2,362.60","2,362.72","2,362.72","3,354,110,000"
30-Mar-17,"2,361.31","2,370.42","2,358.58","2,368.06","2,368.06","3,158,420,000"
29-Mar-17,"2,356.54","2,363.36","2,352.94","2,361.13","2,361.13","3,106,940,000"
28-Mar-17,"2,339.79","2,363.78","2,337.63","2,358.57","2,358.57","3,367,780,000"
27-Mar-17,"2,329.11","2,344.90","2,322.25","2,341.59","2,341.59","3,240,230,000"
24-Mar-17,"2,350.42","2,356.22","2,335.74","2,343.98","2,343.98","2,975,130,000"
23-Mar-17,"2,345.97","2,358.92","2,342.13","2,345.96","2,345.96","3,260,600,000"
22-Mar-17,"2,343.00","2,351.81","2,336.45","2,348.45","2,348.45","3,572,730,000"
21-Mar-17,"2,379.32","2,381.93","2,341.90","2,344.02","2,344.02","4,265,590,000"
20-Mar-17,"2,378.24","2,379.55","2,369.66","2,373.47","2,373.47","3,054,930,000"
17-Mar-17,"2,383.71","2,385.71","2,377.64","2,378.25","2,378.25","5,178,040,000"
16-Mar-17,"2,387.71","2,388.10","2,377.18","2,381.38","2,381.38","3,365,660,000"
15-Mar-17,"2,370.34","2,390.01","2,368.94","2,385.26","2,385.26","3,906,840,000"
14-Mar-17,"2,368.55","2,368.55","2,358.18","2,365.45","2,365.45","3,172,630,000"
13-Mar-17,"2,371.56","2,374.42","2,368.52","2,373.47","2,373.47","3,133,900,000"
10-Mar-17,"2,372.52","2,376.86","2,363.04","2,372.60","2,372.60","3,432,950,000"
9-Mar-17,"2,363.49","2,369.08","2,354.54","2,364.87","2,364.87","3,716,340,000"
8-Mar-17,"2,369.81","2,373.09","2,361.01","2,362.98","2,362.98","3,812,100,000"
7-Mar-17,"2,370.74","2,375.12","2,365.51","2,368.39","2,368.39","3,518,390,000"
6-Mar-17,"2,375.23","2,378.80","2,367.98","2,375.31","2,375.31","3,232,700,000"
3-Mar-17,"2,380.92","2,383.89","2,375.39","2,383.12","2,383.12","3,555,260,000"
2-Mar-17,"2,394.75","2,394.75","2,380.17","2,381.92","2,381.92","3,821,320,000"
1-Mar-17,"2,380.13","2,400.98","2,380.13","2,395.96","2,395.96","4,345,180,000"
28-Feb-17,"2,366.08","2,367.79","2,358.96","2,363.64","2,363.64","4,210,140,000"
27-Feb-17,"2,365.23","2,371.54","2,361.87","2,369.75","2,369.75","3,582,610,000"
24-Feb-17,"2,355.73","2,367.34","2,352.87","2,367.34","2,367.34","3,831,570,000"
23-Feb-17,"2,367.50","2,368.26","2,355.09","2,363.81","2,363.81","4,015,260,000"
22-Feb-17,"2,361.11","2,365.13","2,358.34","2,362.82","2,362.82","3,468,670,000"
21-Feb-17,"2,354.91","2,366.71","2,354.91","2,365.38","2,365.38","3,579,780,000"
17-Feb-17,"2,343.01","2,351.16","2,339.58","2,351.16","2,351.16","3,513,060,000"
16-Feb-17,"2,349.64","2,351.31","2,338.87","2,347.22","2,347.22","3,672,370,000"
15-Feb-17,"2,335.58","2,351.30","2,334.81","2,349.25","2,349.25","3,775,590,000"
14-Feb-17,"2,326.12","2,337.58","2,322.17","2,337.58","2,337.58","3,520,910,000"
13-Feb-17,"2,321.72","2,331.58","2,321.42","2,328.25","2,328.25","3,349,730,000"
10-Feb-17,"2,312.27","2,319.23","2,311.10","2,316.10","2,316.10","3,475,020,000"
9-Feb-17,"2,296.70","2,311.08","2,296.61","2,307.87","2,307.87","3,677,940,000"
8-Feb-17,"2,289.55","2,295.91","2,285.38","2,294.67","2,294.67","3,609,740,000"
7-Feb-17,"2,295.87","2,299.40","2,290.16","2,293.08","2,293.08","3,448,690,000"
6-Feb-17,"2,294.28","2,296.18","2,288.57","2,292.56","2,292.56","3,109,050,000"
3-Feb-17,"2,288.54","2,298.31","2,287.88","2,297.42","2,297.42","3,597,970,000"
2-Feb-17,"2,276.69","2,283.97","2,271.65","2,280.85","2,280.85","3,807,710,000"
1-Feb-17,"2,285.59","2,289.14","2,272.44","2,279.55","2,279.55","3,916,610,000"
31-Jan-17,"2,274.02","2,279.09","2,267.21","2,278.87","2,278.87","4,087,450,000"
30-Jan-17,"2,286.01","2,286.01","2,268.04","2,280.90","2,280.90","3,591,270,000"
27-Jan-17,"2,299.02","2,299.02","2,291.62","2,294.69","2,294.69","3,135,890,000"
26-Jan-17,"2,298.63","2,300.99","2,294.08","2,296.68","2,296.68","3,610,360,000"
25-Jan-17,"2,288.88","2,299.55","2,288.88","2,298.37","2,298.37","3,846,020,000"
24-Jan-17,"2,267.88","2,284.63","2,266.68","2,280.07","2,280.07","3,810,960,000"
23-Jan-17,"2,267.78","2,271.78","2,257.02","2,265.20","2,265.20","3,152,710,000"
20-Jan-17,"2,269.96","2,276.96","2,265.01","2,271.31","2,271.31","3,524,970,000"
19-Jan-17,"2,271.90","2,274.33","2,258.41","2,263.69","2,263.69","3,165,970,000"
18-Jan-17,"2,269.14","2,272.01","2,263.35","2,271.89","2,271.89","3,315,250,000"
17-Jan-17,"2,269.14","2,272.08","2,262.81","2,267.89","2,267.89","3,584,990,000"
13-Jan-17,"2,272.74","2,278.68","2,271.51","2,274.64","2,274.64","3,081,270,000"
12-Jan-17,"2,271.14","2,271.78","2,254.25","2,270.44","2,270.44","3,462,130,000"
11-Jan-17,"2,268.60","2,275.32","2,260.83","2,275.32","2,275.32","3,620,410,000"
10-Jan-17,"2,269.72","2,279.27","2,265.27","2,268.90","2,268.90","3,638,790,000"
9-Jan-17,"2,273.59","2,275.49","2,268.90","2,268.90","2,268.90","3,217,610,000"
6-Jan-17,"2,271.14","2,282.10","2,264.06","2,276.98","2,276.98","3,339,890,000"
5-Jan-17,"2,268.18","2,271.50","2,260.45","2,269.00","2,269.00","3,761,820,000"
4-Jan-17,"2,261.60","2,272.82","2,261.60","2,270.75","2,270.75","3,764,890,000"
3-Jan-17,"2,251.57","2,263.88","2,245.13","2,257.83","2,257.83","3,770,530,000"
30-Dec-16,"2,251.61","2,253.58","2,233.62","2,238.83","2,238.83","2,670,900,000"
29-Dec-16,"2,249.50","2,254.51","2,244.56","2,249.26","2,249.26","2,336,370,000"
28-Dec-16,"2,270.23","2,271.31","2,249.11","2,249.92","2,249.92","2,392,360,000"
27-Dec-16,"2,266.23","2,273.82","2,266.15","2,268.88","2,268.88","1,987,080,000"
23-Dec-16,"2,260.25","2,263.79","2,258.84","2,263.79","2,263.79","2,020,550,000"
22-Dec-16,"2,262.93","2,263.18","2,256.08","2,260.96","2,260.96","2,876,320,000"
21-Dec-16,"2,270.54","2,271.23","2,265.15","2,265.18","2,265.18","2,852,230,000"
20-Dec-16,"2,266.50","2,272.56","2,266.14","2,270.76","2,270.76","3,298,780,000"
19-Dec-16,"2,259.24","2,267.47","2,258.21","2,262.53","2,262.53","3,248,370,000"
16-Dec-16,"2,266.81","2,268.05","2,254.24","2,258.07","2,258.07","5,920,340,000"
15-Dec-16,"2,253.77","2,272.12","2,253.77","2,262.03","2,262.03","4,168,200,000"
14-Dec-16,"2,268.35","2,276.20","2,248.44","2,253.28","2,253.28","4,406,970,000"
13-Dec-16,"2,263.32","2,277.53","2,263.32","2,271.72","2,271.72","3,857,590,000"
12-Dec-16,"2,258.83","2,264.03","2,252.37","2,256.96","2,256.96","4,034,510,000"
9-Dec-16,"2,249.73","2,259.80","2,249.23","2,259.53","2,259.53","3,884,480,000"
8-Dec-16,"2,241.13","2,251.69","2,237.57","2,246.19","2,246.19","4,200,580,000"
7-Dec-16,"2,210.72","2,241.63","2,208.93","2,241.35","2,241.35","4,501,820,000"
6-Dec-16,"2,207.26","2,212.78","2,202.21","2,212.23","2,212.23","3,855,320,000"
5-Dec-16,"2,200.65","2,209.42","2,199.97","2,204.71","2,204.71","3,895,230,000"
2-Dec-16,"2,191.12","2,197.95","2,188.37","2,191.95","2,191.95","3,779,500,000"
1-Dec-16,"2,200.17","2,202.60","2,187.44","2,191.08","2,191.08","5,063,740,000"
30-Nov-16,"2,204.97","2,214.10","2,198.81","2,198.81","2,198.81","5,533,980,000"
29-Nov-16,"2,200.76","2,210.46","2,198.15","2,204.66","2,204.66","3,706,560,000"
28-Nov-16,"2,210.21","2,211.14","2,200.36","2,201.72","2,201.72","3,505,650,000"
25-Nov-16,"2,206.27","2,213.35","2,206.27","2,213.35","2,213.35","1,584,600,000"
23-Nov-16,"2,198.55","2,204.72","2,194.51","2,204.72","2,204.72","3,418,640,000"
22-Nov-16,"2,201.56","2,204.80","2,194.51","2,202.94","2,202.94","3,957,940,000"
21-Nov-16,"2,186.43","2,198.70","2,186.43","2,198.18","2,198.18","3,607,010,000"
18-Nov-16,"2,186.85","2,189.89","2,180.38","2,181.90","2,181.90","3,572,400,000"
17-Nov-16,"2,178.61","2,188.06","2,176.65","2,187.12","2,187.12","3,809,160,000"
16-Nov-16,"2,177.53","2,179.22","2,172.20","2,176.94","2,176.94","3,830,590,000"
15-Nov-16,"2,168.29","2,180.84","2,166.38","2,180.39","2,180.39","4,543,860,000"
14-Nov-16,"2,165.64","2,171.36","2,156.08","2,164.20","2,164.20","5,367,200,000"
11-Nov-16,"2,162.71","2,165.92","2,152.49","2,164.45","2,164.45","4,988,050,000"
10-Nov-16,"2,167.49","2,182.30","2,151.17","2,167.48","2,167.48","6,451,640,000"
9-Nov-16,"2,131.56","2,170.10","2,125.35","2,163.26","2,163.26","6,264,150,000"
8-Nov-16,"2,129.92","2,146.87","2,123.56","2,139.56","2,139.56","3,916,930,000"
7-Nov-16,"2,100.59","2,132.00","2,100.59","2,131.52","2,131.52","3,736,060,000"
4-Nov-16,"2,083.79","2,099.07","2,083.79","2,085.18","2,085.18","3,837,860,000"
3-Nov-16,"2,098.80","2,102.56","2,085.23","2,088.66","2,088.66","3,886,740,000"
2-Nov-16,"2,109.43","2,111.76","2,094.00","2,097.94","2,097.94","4,248,580,000"
1-Nov-16,"2,128.68","2,131.45","2,097.85","2,111.72","2,111.72","4,532,160,000"
31-Oct-16,"2,129.78","2,133.25","2,125.53","2,126.15","2,126.15","3,922,400,000"
28-Oct-16,"2,132.23","2,140.72","2,119.36","2,126.41","2,126.41","4,019,510,000"
27-Oct-16,"2,144.06","2,147.13","2,132.52","2,133.04","2,133.04","4,204,830,000"
26-Oct-16,"2,136.97","2,145.73","2,131.59","2,139.43","2,139.43","3,775,200,000"
25-Oct-16,"2,149.72","2,151.44","2,141.93","2,143.16","2,143.16","3,751,340,000"
