,StartDate,EndDate,Date,const,szgrowth(-1)+,szgrowth(-1),const-p,szgrowth(-1)+p,szgrowth(-1)p,rsquared,rsquared_adj
61,2011-03-01,2012-08-01,2011-12-01,0.15630672690457847,-0.06571888627515839,0.02816696468175743,0.01009372653153206,0.011139701615759532,0.019284601941471184,0.35893045120093836,0.27345451136106347
62,2011-04-01,2012-09-01,2012-01-01,0.1375136703049497,-0.06618583315635619,0.025544381238449286,0.008273750292568383,0.004274986281339708,0.01580481052967406,0.43287710037493987,0.3572607137582652
63,2011-05-01,2012-10-01,2012-02-01,0.09960103475360324,-0.0531034085338344,0.018919811515898766,0.029179859357289988,0.00961954196203561,0.0411804404424244,0.384617090103028,0.3025660354500984
64,2011-06-01,2012-11-01,2012-03-01,0.12318200677121507,-0.061750275667816074,0.022726948362160986,0.01859585245615355,0.008004410660527454,0.031283226770454496,0.3943127274781143,0.3135544244751962
65,2011-07-01,2012-12-01,2012-04-01,0.1391574103659567,-0.0667057686762387,0.02440366878316573,0.020567386646580144,0.012536655605106837,0.047215019727352384,0.36248785113344606,0.27748623128457217
66,2011-08-01,2013-01-01,2012-05-01,-0.0022670662935646013,0.011702708488246687,-0.000929178915166193,0.9748627548513963,0.6289576392903999,0.9519203942330388,0.07950772079107038,-0.04322458310345345
67,2011-09-01,2013-02-01,2012-06-01,0.07479108973624944,0.0010143341030886405,0.012790946885138089,0.564084563262103,0.9811812868211941,0.6366302076926793,0.10862465291252688,-0.010225393365802748
68,2011-10-01,2013-03-01,2012-07-01,0.22468495191947963,-0.04084975330259206,0.03665564985361526,0.1471392075707083,0.42953863509283574,0.27108884603328426,0.10002893075221198,-0.019967211814159835
69,2011-11-01,2013-04-01,2012-08-01,0.2232491951438497,-0.02521337323207455,0.02119167669680643,0.21349244603595602,0.6870208546607682,0.6065046306037466,0.020982155373687528,-0.10955355724315408
70,2011-12-01,2013-05-01,2012-09-01,0.33191628955018615,-0.047036732300611075,0.03516409596205228,0.08972178464991783,0.4827847259160638,0.43201922611256105,0.042056206629422666,-0.08566963248665438
71,2012-01-01,2013-06-01,2012-10-01,0.36047987184399555,-0.0412532813473039,0.03322095854431649,0.06972255451033506,0.5512529363785015,0.47540373828894333,0.03701316534942933,-0.09138507927064676
72,2012-02-01,2013-07-01,2012-11-01,0.270287970253854,0.01193986425419431,-0.009199839627788715,0.11230954717947392,0.8144845791458069,0.7606729285589258,0.006636544511129161,-0.1258119162207203
73,2012-03-01,2013-08-01,2012-12-01,0.37047683058663977,-0.0075149919226975,0.004217976800851817,0.031063112954076256,0.8803735940945052,0.8880864973131819,0.001594083242961175,-0.13152670565797742
74,2012-04-01,2013-09-01,2013-01-01,0.40621252240737094,-0.004694695483117501,0.009003887641721334,0.01622043726904356,0.9226584236774434,0.756026747190198,0.013923996014725604,-0.1175528045166443
75,2012-05-01,2013-10-01,2013-02-01,0.4270556030085886,0.0009421111192924863,0.002773918935215853,0.008350640743117095,0.9838770068093733,0.9217915941078172,0.003462429698171565,-0.12940924634207218
76,2012-06-01,2013-11-01,2013-03-01,0.46575288412305516,0.0017533430012195012,0.007272942645075145,0.0021223245779016667,0.9671476566487204,0.780316770390597,0.023389397653567068,-0.10682534932595722
77,2012-07-01,2013-12-01,2013-04-01,0.5115081243126868,-0.009943889748520712,0.011983518413446581,0.0007736183347724698,0.8082017916204898,0.6278356286645173,0.02311517443683253,-0.10713613563825652
78,2012-08-01,2014-01-01,2013-05-01,0.5165033278938476,-0.00558145314195896,0.007006470290200783,0.0004901410779451889,0.8882803543682066,0.7723678444608357,0.008581105788408872,-0.12360808010646984
79,2012-09-01,2014-02-01,2013-06-01,0.5140788499668771,-0.0005079736206116438,0.0022312993425985007,0.00031448454932568847,0.9893645324637593,0.9242683951463105,0.0017879658916185592,-0.13130697198949903
80,2012-10-01,2014-03-01,2013-07-01,0.5197508396558195,0.0015173245271793072,-0.0016528990959744473,0.0001321527881083153,0.9657563516816675,0.939289064401761,0.0005110686549792964,-0.13275412219102334
81,2012-11-01,2014-04-01,2013-08-01,0.5175202664181133,0.0031014807610383506,-0.0002273949156739192,0.00011387251590030716,0.9288536284886455,0.9915921677718404,0.0015782666382511135,-0.13154463114331527
82,2012-12-01,2014-05-01,2013-09-01,0.4689085555349972,0.015447413993674119,-0.006661974946079037,0.0008255426452235916,0.6933209029862046,0.7841055450197847,0.011493096905571099,-0.1203078235070194
83,2013-01-01,2014-06-01,2013-10-01,0.3854511897379572,0.03827692496208303,-0.020931197679399764,0.009880498684668304,0.41118651004287166,0.4734813484837609,0.04565764159785346,-0.08158800618909945
84,2013-02-01,2014-07-01,2013-11-01,0.1471002667018598,0.15482258802811727,-0.05096376447802923,0.3923348628055632,0.0670275014395366,0.16535131131243747,0.20629637810276613,0.10046922851646833
85,2013-03-01,2014-08-01,2013-12-01,0.2732591862567193,-0.001269661319592344,-0.03506755509687058,0.21833896549333276,0.9892399242152319,0.4492200446172021,0.08852511113010031,-0.033004874052553035
86,2013-04-01,2014-09-01,2014-01-01,0.06595056639734542,0.05808809496222809,-0.05887569954162033,0.7812678773540289,0.5759499615647923,0.24844499931982456,0.10199041795304864,-0.01774419298654495
87,2013-05-01,2014-10-01,2014-02-01,0.08121289763285186,0.012247532339028554,-0.049294859320014595,0.743476165183024,0.9040180556922763,0.35949568199013393,0.10810998341615541,-0.010808685461690448
88,2013-06-01,2014-11-01,2014-03-01,-0.024190853657143546,0.029235823586109558,-0.05370074147993101,0.9229262174121592,0.7738513053539712,0.31504247840496846,0.10173882567844394,-0.018029330897763485
89,2013-07-01,2014-12-01,2014-04-01,-0.02222843470536337,0.003504487060899432,-0.05348838776551897,0.9199853152440197,0.9656706410578131,0.27713890043878253,0.1823658853365554,0.07334800338142944
90,2013-08-01,2015-01-01,2014-05-01,-0.10915132870213978,0.0918039560124255,-0.12031897992664854,0.6126895203499203,0.48393449377577114,0.31046658984829884,0.16322770468202408,0.05165806530629402
91,2013-09-01,2015-02-01,2014-06-01,-0.25736705217723255,0.13868940085871675,-0.15482438399536486,0.21605218832247183,0.2689891498776712,0.17230748982289842,0.18167391765212593,0.07256377333907604
92,2013-10-01,2015-03-01,2014-07-01,-0.31216476390952924,0.1525242740089895,-0.17103028533412132,0.09671056441097242,0.17699588468789956,0.0964351103007346,0.25376020750677186,0.1542615685076748
93,2013-11-01,2015-04-01,2014-08-01,-0.3963964898271035,0.18333308613107727,-0.1959410160318208,0.02363316652883391,0.06960501748887499,0.03511227422122892,0.33969366536809975,0.2516528207505131
94,2013-12-01,2015-05-01,2014-09-01,-0.4620897459236547,0.18574352934060376,-0.18758063962210358,0.006702331572171741,0.04670771245587508,0.03063875853688311,0.3079537258407019,0.21568088928612883
95,2014-01-01,2015-06-01,2014-10-01,-0.5133366475980294,0.20189521995578752,-0.20165040165007092,0.0010980399806609894,0.015857462795179966,0.009723031438870775,0.3976186311174664,0.317301115266462
96,2014-02-01,2015-07-01,2014-11-01,-0.46168132682520124,0.07016915960437144,-0.07380797423163181,0.003647547488690166,0.264158781508828,0.1911279677414435,0.1365047664982343,0.021372068697998903
97,2014-03-01,2015-08-01,2014-12-01,-0.46405630179755786,0.02533331349980892,-0.028793568960663082,0.0023017336586395156,0.4625062281004756,0.29195763898218224,0.09215624406477008,-0.028889590059927306
