日期,新建商品住宅销售价格指数(上月=100),城市,类别123,类别0123,date,销售价格变动,hp
2011年5月,100.0,泉州,2,2,2011-05-01,0.0,1.2515103535430234
2011年4月,100.2,泉州,2,2,2011-04-01,0.0020000000000000018,1.2515103535430234
2011年3月,100.6,泉州,2,2,2011-03-01,0.006000000000000005,1.2490123288852528
2011年2月,100.5,泉州,2,2,2011-02-01,0.004999999999999893,1.2415629511781836
2011年1月,100.2,泉州,2,2,2011-01-01,0.0020000000000000018,1.2353860210728196
2010年12月,100.2,泉州,2,2,2010-12-01,0.0020000000000000018,1.2329201807113968
2010年11月,100.1,泉州,2,2,2010-11-01,0.0009999999999998899,1.2304592621870227
2010年10月,99.6,泉州,2,2,2010-10-01,-0.0040000000000000036,1.229230032154868
2010年9月,100.2,泉州,2,2,2010-09-01,0.0020000000000000018,1.2341666989506705
2010年8月,99.4,泉州,2,2,2010-08-01,-0.005999999999999894,1.2317032923659386
2010年7月,99.3,泉州,2,2,2010-07-01,-0.007000000000000006,1.2391381210924934
2010年6月,99.9,泉州,2,2,2010-06-01,-0.0009999999999998899,1.2478732337285936
2010年5月,100.0,泉州,2,2,2010-05-01,0.0,1.249122356084678
2010年4月,100.1,泉州,2,2,2010-04-01,0.0009999999999998899,1.249122356084678
2010年3月,100.6,泉州,2,2,2010-03-01,0.006000000000000005,1.2478744816030751
2010年2月,100.2,泉州,2,2,2010-02-01,0.0020000000000000018,1.2404318902615061
2010年1月,100.3,泉州,2,2,2010-01-01,0.0029999999999998916,1.2379559783048963
2009年12月,101.1,泉州,2,2,2009-12-01,0.010999999999999899,1.2342532186489497
2009年11月,100.7,泉州,2,2,2009-11-01,0.007000000000000117,1.2208241529663202
2009年10月,100.1,泉州,2,2,2009-10-01,0.0009999999999998899,1.2123377884471898
2009年9月,101.1,泉州,2,2,2009-09-01,0.010999999999999899,1.2111266617854044
2009年8月,101.2,泉州,2,2,2009-08-01,0.01200000000000001,1.1979492203614288
2009年7月,99.9,泉州,2,2,2009-07-01,-0.0009999999999998899,1.1837442888946925
2009年6月,100.3,泉州,2,2,2009-06-01,0.0029999999999998916,1.1849292181128053
2009年5月,99.8,泉州,2,2,2009-05-01,-0.0020000000000000018,1.1813850629240332
2009年4月,99.1,泉州,2,2,2009-04-01,-0.009000000000000008,1.1837525680601535
2009年3月,99.7,泉州,2,2,2009-03-01,-0.0030000000000000027,1.1945030959234646
2009年2月,100.0,泉州,2,2,2009-02-01,0.0,1.1980973880877277
2009年1月,99.9,泉州,2,2,2009-01-01,-0.0009999999999998899,1.1980973880877277
2008年12月,100.0,泉州,2,2,2008-12-01,0.0,1.1992966847725002
2008年11月,98.9,泉州,2,2,2008-11-01,-0.010999999999999899,1.1992966847725002
2008年10月,99.5,泉州,2,2,2008-10-01,-0.0050000000000000044,1.2126356772219413
2008年9月,99.9,泉州,2,2,2008-09-01,-0.0009999999999998899,1.218729323841147
2008年8月,100.4,泉州,2,2,2008-08-01,0.0040000000000000036,1.2199492731142612
2008年7月,100.1,泉州,2,2,2008-07-01,0.0009999999999998899,1.2150889174444832
2008年6月,100.0,泉州,2,2,2008-06-01,0.0,1.2138750424020812
2008年5月,100.2,泉州,2,2,2008-05-01,0.0020000000000000018,1.2138750424020812
2008年4月,99.6,泉州,2,2,2008-04-01,-0.0040000000000000036,1.2114521381258296
2008年3月,101.2,泉州,2,2,2008-03-01,0.01200000000000001,1.216317407756857
2008年2月,100.1,泉州,2,2,2008-02-01,0.0009999999999998899,1.201894671696499
2008年1月,100.6,泉州,2,2,2008-01-01,0.006000000000000005,1.2006939777187804
2007年12月,100.1,泉州,2,2,2007-12-01,0.0009999999999998899,1.1935327810325849
2007年11月,100.3,泉州,2,2,2007-11-01,0.0029999999999998916,1.192340440591993
2007年10月,101.1,泉州,2,2,2007-10-01,0.010999999999999899,1.1887741182372813
2007年9月,100.6,泉州,2,2,2007-09-01,0.006000000000000005,1.1758398795620983
2007年8月,100.8,泉州,2,2,2007-08-01,0.008000000000000007,1.1688269180537756
2007年7月,100.5,泉州,2,2,2007-07-01,0.004999999999999893,1.1595505139422377
2007年6月,100.1,泉州,2,2,2007-06-01,0.0009999999999998899,1.1537816059126744
2007年5月,100.2,泉州,2,2,2007-05-01,0.0020000000000000018,1.1526289769357387
2007年4月,101.9,泉州,2,2,2007-04-01,0.019000000000000128,1.1503283202951484
2007年3月,100.9,泉州,2,2,2007-03-01,0.009000000000000119,1.1288796077479375
2007年2月,101.8,泉州,2,2,2007-02-01,0.018000000000000016,1.1188103149137139
2007年1月,101.5,泉州,2,2,2007-01-01,0.014999999999999902,1.0990278142570862
2006年12月,101.2,泉州,2,2,2006-12-01,0.01200000000000001,1.0827860238986071
